Date,Close,Volume
15/08/2018,179.5,33020200
16/08/2018,174.7,31351800
17/08/2018,173.8,24893200
20/08/2018,172.5,21518000
21/08/2018,172.6,19578500
22/08/2018,173.6,16894100
23/08/2018,172.9,18053600
24/08/2018,174.6,14631600
27/08/2018,177.5,17921900
28/08/2018,176.3,15910700
29/08/2018,175.9,18494100
30/08/2018,177.6,24216500
31/08/2018,175.7,18065200
04/09/2018,171.2,29809000
05/09/2018,167.2,31226700
06/09/2018,162.5,41514800
07/09/2018,163.0,24300600
10/09/2018,164.2,20197700
11/09/2018,165.9,20457100
12/09/2018,162.0,24078100
13/09/2018,161.4,25453800
14/09/2018,162.3,21770400
17/09/2018,160.6,21005300
18/09/2018,160.3,22465200
19/09/2018,163.1,19629000
20/09/2018,166.0,18936000
21/09/2018,162.9,45994800
24/09/2018,165.4,19222800
25/09/2018,164.9,27622800
26/09/2018,166.9,25252200
27/09/2018,168.8,27266900
28/09/2018,164.5,34265600
01/10/2018,162.4,26407700
02/10/2018,159.3,36031000
03/10/2018,162.4,23109500
04/10/2018,158.9,25739600
05/10/2018,157.3,25744000
08/10/2018,157.3,24046000
09/10/2018,157.9,18844400
10/10/2018,151.4,30610000
11/10/2018,153.4,35338900
12/10/2018,153.7,25293500
15/10/2018,153.5,15433500
16/10/2018,158.8,19180100
17/10/2018,159.4,17592000
18/10/2018,154.9,21675100
19/10/2018,154.1,19761300
22/10/2018,154.8,15424700
23/10/2018,154.4,19095000
24/10/2018,146.0,27744600
25/10/2018,150.9,22105700
26/10/2018,145.4,31303300
29/10/2018,142.1,31336800
30/10/2018,146.2,50528300
31/10/2018,151.8,60101300
01/11/2018,151.8,25640800
02/11/2018,150.4,24708700
05/11/2018,148.7,15971200
06/11/2018,149.9,16667100
07/11/2018,151.5,21877400
08/11/2018,147.9,24145800
09/11/2018,145.0,17326900
12/11/2018,141.6,18542100
13/11/2018,142.2,15141700
14/11/2018,144.2,22068400
15/11/2018,143.9,30320300
16/11/2018,139.5,37250600
19/11/2018,131.6,44362700
20/11/2018,132.4,41939500
21/11/2018,134.8,25469700
23/11/2018,131.7,11886100
26/11/2018,136.4,24263600
27/11/2018,135.0,20750300
28/11/2018,136.8,29847500
29/11/2018,138.7,24238700
30/11/2018,140.6,25732600
03/12/2018,141.1,24819200
04/12/2018,137.9,30307400
06/12/2018,139.6,28218100
07/12/2018,137.4,21195500
10/12/2018,141.9,26422200
11/12/2018,142.1,20300300
12/12/2018,144.5,23696900
13/12/2018,145.0,18148600
14/12/2018,144.1,21785800
17/12/2018,140.2,24334000
18/12/2018,143.7,24709100
19/12/2018,133.2,57404900
20/12/2018,133.4,40297900
21/12/2018,124.9,56901500
24/12/2018,124.1,22066000
26/12/2018,134.2,39723400
27/12/2018,134.5,31202500
28/12/2018,133.2,22627600
31/12/2018,131.1,24625300
02/01/2019,135.7,28146200
03/01/2019,131.7,22717900
04/01/2019,137.9,29002100
07/01/2019,138.1,20089300
08/01/2019,142.5,26263800
09/01/2019,144.2,22205900
10/01/2019,144.2,16125000
11/01/2019,143.8,12908000
14/01/2019,145.4,20520300
15/01/2019,148.9,24069000
16/01/2019,147.5,18025700
17/01/2019,148.3,15787900
18/01/2019,150.0,31029600
22/01/2019,147.6,22378700
23/01/2019,144.3,20098400
24/01/2019,145.8,20955500
25/01/2019,149.0,22237200
28/01/2019,147.5,15508500
29/01/2019,144.2,17632100
30/01/2019,150.4,44613200
31/01/2019,166.7,77233600
01/02/2019,165.7,30806500
04/02/2019,169.3,20036000
05/02/2019,171.2,22557000
06/02/2019,170.5,13281200
07/02/2019,166.4,17517600
08/02/2019,167.3,12561400
11/02/2019,165.8,12811200
12/02/2019,165.0,16292300
13/02/2019,164.1,14205100
14/02/2019,163.9,12755200
15/02/2019,162.5,15504400
19/02/2019,162.3,14345400
20/02/2019,162.6,11770700
21/02/2019,160.0,15607800
22/02/2019,161.9,15858500
25/02/2019,164.6,18737100
26/02/2019,164.1,13784100
27/02/2019,162.8,12697500
28/02/2019,161.4,11114200
01/03/2019,162.3,11097800
04/03/2019,167.4,18894700
05/03/2019,171.3,28187900
06/03/2019,172.5,21531700
07/03/2019,169.1,18306500
08/03/2019,169.6,13184800
11/03/2019,172.1,18884000
12/03/2019,171.9,12155300
13/03/2019,173.4,11973300
14/03/2019,170.2,18037400
15/03/2019,166.0,37135400
18/03/2019,160.5,37524200
19/03/2019,161.6,25611500
20/03/2019,165.4,20211500
21/03/2019,166.1,16223000
22/03/2019,164.3,16389200
25/03/2019,166.3,12631200
26/03/2019,167.7,15437900
27/03/2019,165.9,10620300
28/03/2019,165.6,10443000
29/03/2019,166.7,13455500
01/04/2019,168.7,10381500
02/04/2019,174.2,23946500
03/04/2019,173.5,27391100
04/04/2019,176.0,17847700
05/04/2019,175.7,9594100
